Date,High,Low,Open,Close,Volume,Adj Close
1997-10-23,20.0,15.75,16.0,18.5,8491800.0,18.5
1997-10-24,20.21875,18.75,20.0,19.0,2214400.0,19.0
1997-10-27,18.90625,15.5,18.875,16.5,937800.0,16.5
1997-10-28,18.125,14.875,14.875,17.4375,1217400.0,17.4375
1997-10-29,18.5,17.75,18.0,18.5,687600.0,18.5
1997-10-30,19.1875,17.5,17.625,18.625,494800.0,18.625
1997-10-31,18.96875,17.625,18.8125,17.9375,189400.0,17.9375
1997-11-03,18.5,17.5625,18.0625,17.75,256000.0,17.75
1997-11-04,17.75,17.1875,17.6875,17.625,224600.0,17.625
1997-11-05,18.1875,17.25,17.375,18.1875,302800.0,18.1875
1997-11-06,18.5,17.875,18.3125,17.9375,217400.0,17.9375
1997-11-07,17.75,17.25,17.5,17.75,236000.0,17.75
1997-11-10,18.0625,17.75,17.75,17.8125,68600.0,17.8125
1997-11-11,18.21875,17.625,17.8125,17.6875,244200.0,17.6875
1997-11-12,18.125,17.3125,17.5625,17.3125,100600.0,17.3125
1997-11-13,17.3125,15.25,17.25,16.5625,495800.0,16.5625
1997-11-14,17.0625,16.125,16.8125,16.5,99000.0,16.5
1997-11-17,17.125,16.625,16.8125,16.75,98400.0,16.75
1997-11-18,16.75,15.46875,16.75,15.59375,229800.0,15.59375
1997-11-19,15.25,14.625,15.21875,15.1875,830200.0,15.1875
1997-11-20,16.25,15.75,16.0,15.96875,382200.0,15.96875
1997-11-21,16.125,15.625,16.0625,15.625,75200.0,15.625
1997-11-24,15.625,14.9375,15.625,14.9375,180000.0,14.9375
1997-11-25,15.0,14.0,14.9375,14.6875,391800.0,14.6875
1997-11-26,15.3125,14.75,14.75,15.03125,195400.0,15.03125
1997-11-28,15.03125,14.96875,15.03125,14.96875,79800.0,14.96875
1997-12-01,14.96875,13.75,14.96875,14.53125,466800.0,14.53125
1997-12-02,15.5625,14.5,14.5,15.375,85600.0,15.375
1997-12-03,17.0,16.0625,16.25,16.5625,395000.0,16.5625
1997-12-04,17.4375,16.6875,16.6875,17.09375,245800.0,17.09375
1997-12-05,17.09375,16.8125,17.0,16.8125,148800.0,16.8125
1997-12-08,16.9375,16.5625,16.9375,16.6875,42600.0,16.6875
1997-12-09,16.5625,16.0625,16.5,16.1875,48600.0,16.1875
1997-12-10,16.1875,16.0,16.1875,16.0,52600.0,16.0
1997-12-11,15.75,14.875,15.75,15.03125,121400.0,15.03125
1997-12-12,15.375,15.0,15.125,15.25,146000.0,15.25
1997-12-15,15.25,14.6875,15.25,14.75,220400.0,14.75
1997-12-16,15.8125,14.75,14.75,15.375,66000.0,15.375
1997-12-17,15.75,15.6875,15.75,15.71875,44800.0,15.71875
1997-12-18,16.25,15.65625,15.65625,15.9375,342400.0,15.9375
1997-12-19,15.8125,15.375,15.8125,15.5625,61600.0,15.5625
1997-12-22,15.5625,15.0,15.5,15.125,152800.0,15.125
1997-12-23,15.1875,14.875,15.15625,14.875,211600.0,14.875
1997-12-24,15.0,14.4375,14.75,15.0,92600.0,15.0
1997-12-26,14.9375,14.53125,14.9375,14.6875,22400.0,14.6875
1997-12-29,15.8125,14.625,14.625,15.75,71000.0,15.75
1997-12-30,16.3125,15.6875,15.75,16.0625,115600.0,16.0625
1997-12-31,17.9375,16.1875,16.1875,17.5625,184400.0,17.5625
1998-01-02,17.5,17.03125,17.3125,17.1875,105800.0,17.1875
1998-01-05,17.09375,15.59375,17.09375,15.6875,237600.0,15.6875
1998-01-06,15.59375,13.5625,15.5625,13.9375,550400.0,13.9375
1998-01-07,14.375,13.5,14.125,14.0,265400.0,14.0
1998-01-08,13.875,13.5625,13.875,13.75,51400.0,13.75
1998-01-09,13.65625,12.5,13.625,12.875,311400.0,12.875
1998-01-12,12.6875,11.1875,12.125,11.6875,275800.0,11.6875
1998-01-13,12.5,12.0,12.0,12.5,410800.0,12.5
1998-01-14,13.4375,12.9375,13.0625,13.125,402800.0,13.125
1998-01-15,13.5,13.1875,13.4375,13.21875,104800.0,13.21875
1998-01-16,13.75,13.25,13.34375,13.71875,151000.0,13.71875
1998-01-20,14.5625,13.9375,14.125,14.40625,170800.0,14.40625
1998-01-21,14.53125,14.125,14.53125,14.34375,86200.0,14.34375
1998-01-22,14.0,12.875,14.0,12.875,221400.0,12.875
1998-01-23,13.09375,12.3125,13.0625,12.625,267000.0,12.625
1998-01-26,13.1875,12.46875,12.6875,12.6875,255400.0,12.6875
1998-01-27,13.0625,12.75,12.75,13.03125,66000.0,13.03125
1998-01-28,13.25,12.9375,13.0625,13.0625,56600.0,13.0625
1998-01-29,14.25,13.375,13.375,14.15625,346200.0,14.15625
1998-01-30,15.375,14.5,14.5,14.8125,279000.0,14.8125
1998-02-02,15.125,14.5,15.0,14.5,296400.0,14.5
1998-02-03,14.5,14.21875,14.4375,14.25,39200.0,14.25
1998-02-04,14.9375,14.0,14.375,14.9375,74600.0,14.9375
1998-02-05,16.625,15.0,15.0,16.25,365000.0,16.25
1998-02-06,16.8125,15.875,16.25,16.5,200200.0,16.5
1998-02-09,16.6875,16.125,16.5,16.125,91600.0,16.125
1998-02-10,16.0,15.75,16.0,15.75,21000.0,15.75
1998-02-11,16.0,15.6875,15.75,15.6875,34400.0,15.6875
1998-02-12,15.875,15.5625,15.5625,15.875,20600.0,15.875
1998-02-13,15.9375,15.0625,15.875,15.125,41400.0,15.125
1998-02-17,15.1875,14.375,15.125,14.4375,74000.0,14.4375
1998-02-18,14.6875,14.3125,14.4375,14.6875,41800.0,14.6875
