Date,High,Low,Open,Close,Volume,Adj Close
2014-12-18,0.25,0.10000000149011612,0.10000000149011612,0.25,2000.0,0.25
2014-12-19,1.0,0.75,0.75,1.0,2100.0,1.0
2014-12-22,1.0,1.0,1.0,1.0,100.0,1.0
2014-12-23,1.0,1.0,1.0,1.0,100.0,1.0
2014-12-31,4.75,4.75,4.75,4.75,200.0,4.75
2015-01-07,4.75,4.75,4.75,4.75,0.0,4.75
2015-01-14,4.0,4.0,4.0,4.0,200.0,4.0
2015-01-27,4.0,4.0,4.0,4.0,0.0,4.0
2015-01-28,4.0,4.0,4.0,4.0,0.0,4.0
2015-01-29,4.0,4.0,4.0,4.0,0.0,4.0
2015-01-30,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-02,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-03,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-04,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-05,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-06,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-09,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-10,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-11,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-12,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-13,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-17,4.0,4.0,4.0,4.0,0.0,4.0
2015-02-19,2.5,1.75,2.5,1.75,200.0,1.75
2015-02-20,1.75,1.75,1.75,1.75,0.0,1.75
2015-02-23,1.75,1.75,1.75,1.75,0.0,1.75
2015-02-24,1.75,1.75,1.75,1.75,0.0,1.75
2015-02-25,1.75,1.75,1.75,1.75,0.0,1.75
2015-02-27,1.024999976158142,1.024999976158142,1.024999976158142,1.024999976158142,200.0,1.024999976158142
2015-03-03,1.024999976158142,1.024999976158142,1.024999976158142,1.024999976158142,0.0,1.024999976158142
2015-03-05,1.024999976158142,1.024999976158142,1.024999976158142,1.024999976158142,0.0,1.024999976158142
2015-03-09,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,120.0,1.2999999523162842
2015-03-10,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,0.0,1.2999999523162842
2015-03-13,1.0,1.0,1.0,1.0,100.0,1.0
2015-03-23,1.0,1.0,1.0,1.0,0.0,1.0
2015-03-30,1.0,1.0,1.0,1.0,0.0,1.0
2015-04-06,1.0,1.0,1.0,1.0,0.0,1.0
2015-04-14,1.0,1.0,1.0,1.0,0.0,1.0
2015-04-20,1.0,1.0,1.0,1.0,0.0,1.0
2015-04-21,1.0,1.0,1.0,1.0,0.0,1.0
2015-04-24,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-14,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-15,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-18,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-19,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-20,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-21,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-22,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-26,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-27,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-28,1.0,1.0,1.0,1.0,0.0,1.0
2015-05-29,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-02,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-03,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-04,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-05,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-08,1.0,1.0,1.0,1.0,100.0,1.0
2015-06-09,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-10,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-12,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-16,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-23,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-24,1.0,1.0,1.0,1.0,0.0,1.0
2015-06-25,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,200.0,1.0499999523162842
2015-07-01,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-06,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-07,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-08,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-10,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-13,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-16,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-21,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-27,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-07-31,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-08-04,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-08-14,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1.100000023841858
2015-08-25,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-08-26,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-08-27,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-08-28,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-08-31,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-09-01,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-09-02,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.8999999761581421
2015-09-03,2.0,2.0,2.0,2.0,100.0,2.0
2015-09-04,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-08,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-09,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-11,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-14,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-16,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-18,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-21,2.0,2.0,2.0,2.0,0.0,2.0
2015-09-22,2.0,2.0,2.0,2.0,0.0,2.0
