Date,High,Low,Open,Close,Volume,Adj Close
2009-07-24,20.0,20.0,20.0,20.0,1200,20.0
2009-07-27,20.0,20.0,20.0,20.0,0,20.0
2009-07-28,28.0,28.0,28.0,28.0,16400,28.0
2009-07-29,28.0,27.75,28.0,27.75,24900,27.75
2009-07-30,28.5,28.0,28.0,28.5,38700,28.5
2009-07-31,28.0,28.0,28.0,28.0,700,28.0
2009-08-03,29.0,29.0,29.0,29.0,500,29.0
2009-08-04,29.0,29.0,29.0,29.0,0,29.0
2009-08-05,30.0,30.0,30.0,30.0,500,30.0
2009-08-06,30.0,30.0,30.0,30.0,0,30.0
2009-08-07,30.0,30.0,30.0,30.0,0,30.0
2009-08-10,30.0,30.0,30.0,30.0,39200,30.0
2009-08-11,30.0,30.0,30.0,30.0,0,30.0
2009-08-12,30.0,30.0,30.0,30.0,0,30.0
2009-08-13,30.0,30.0,30.0,30.0,0,30.0
2009-08-14,30.0,30.0,30.0,30.0,0,30.0
2009-08-17,30.0,30.0,30.0,30.0,0,30.0
2009-08-18,40.45000076293945,39.0,39.0,40.45000076293945,900,40.45000076293945
2009-08-19,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-20,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-21,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-24,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-25,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-26,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-27,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-28,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-08-31,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-09-01,40.45000076293945,40.45000076293945,40.45000076293945,40.45000076293945,0,40.45000076293945
2009-09-02,35.0,34.0,35.0,34.0,300,34.0
2009-09-03,34.0,34.0,34.0,34.0,0,34.0
2009-09-04,30.0,30.0,30.0,30.0,500,30.0
2009-09-08,30.0,30.0,30.0,30.0,500,30.0
2009-09-09,30.0,30.0,30.0,30.0,500,30.0
2009-09-10,30.0,30.0,30.0,30.0,0,30.0
2009-09-11,37.0,30.0,32.0,37.0,107500,37.0
2009-09-14,37.0,37.0,37.0,37.0,0,37.0
2009-09-15,38.25,38.0,38.0,38.25,7600,38.25
2009-09-16,38.25,38.25,38.25,38.25,0,38.25
2009-09-17,38.25,38.25,38.25,38.25,0,38.25
2009-09-18,38.25,38.25,38.25,38.25,0,38.25
2009-09-21,38.25,38.25,38.25,38.25,0,38.25
2009-09-22,42.0,42.0,42.0,42.0,24200,42.0
2009-09-23,42.0,42.0,42.0,42.0,0,42.0
2009-09-24,42.0,42.0,42.0,42.0,0,42.0
2009-09-25,42.0,42.0,42.0,42.0,0,42.0
2009-09-28,42.0,42.0,42.0,42.0,0,42.0
2009-09-29,42.0,42.0,42.0,42.0,0,42.0
2009-09-30,38.0,38.0,38.0,38.0,300,38.0
2009-10-01,38.0,38.0,38.0,38.0,0,38.0
2009-10-02,37.0,37.0,37.0,37.0,207400,37.0
2009-10-05,37.0,37.0,37.0,37.0,0,37.0
2009-10-06,37.0,37.0,37.0,37.0,0,37.0
2009-10-07,37.0,37.0,37.0,37.0,0,37.0
2009-10-08,37.0,37.0,37.0,37.0,0,37.0
2009-10-09,37.0,37.0,37.0,37.0,171900,37.0
2009-10-12,37.0,37.0,37.0,37.0,0,37.0
2009-10-13,37.0,37.0,37.0,37.0,0,37.0
2009-10-14,37.0,37.0,37.0,37.0,0,37.0
2009-10-15,37.0,37.0,37.0,37.0,0,37.0
2009-10-16,37.0,37.0,37.0,37.0,0,37.0
2009-10-19,37.0,37.0,37.0,37.0,0,37.0
2009-10-20,37.0,37.0,37.0,37.0,0,37.0
2009-10-21,37.0,37.0,37.0,37.0,0,37.0
2009-10-22,35.0,34.880001068115234,34.880001068115234,35.0,47100,35.0
2009-10-23,35.0,34.75,34.75,35.0,5000,35.0
2009-10-26,35.0,35.0,35.0,35.0,0,35.0
2009-10-27,35.0,35.0,35.0,35.0,0,35.0
2009-10-28,35.0,35.0,35.0,35.0,0,35.0
2009-10-29,35.0,35.0,35.0,35.0,0,35.0
2009-10-30,35.0,35.0,35.0,35.0,0,35.0
2009-11-02,35.0,35.0,35.0,35.0,0,35.0
2009-11-03,35.0,35.0,35.0,35.0,0,35.0
2009-11-04,35.0,35.0,35.0,35.0,0,35.0
2009-11-05,35.0,35.0,35.0,35.0,0,35.0
2009-11-06,35.0,35.0,35.0,35.0,0,35.0
2009-11-09,35.0,35.0,35.0,35.0,0,35.0
2009-11-10,35.0,35.0,35.0,35.0,0,35.0
2009-11-11,35.0,35.0,35.0,35.0,0,35.0
2009-11-12,35.0,35.0,35.0,35.0,0,35.0
2009-11-13,35.0,35.0,35.0,35.0,0,35.0
2009-11-16,35.0,35.0,35.0,35.0,0,35.0
2009-11-17,35.0,35.0,35.0,35.0,3500,35.0
2009-11-18,35.0,35.0,35.0,35.0,0,35.0
2009-11-19,35.0,35.0,35.0,35.0,0,35.0
2009-11-20,35.0,35.0,35.0,35.0,0,35.0
2009-11-23,35.0,35.0,35.0,35.0,0,35.0
2009-11-24,35.0,35.0,35.0,35.0,0,35.0
2009-11-25,35.0,35.0,35.0,35.0,0,35.0
2009-11-27,35.0,35.0,35.0,35.0,0,35.0
2009-11-30,35.0,35.0,35.0,35.0,0,35.0
2009-12-01,35.0,35.0,35.0,35.0,0,35.0
2009-12-02,35.0,35.0,35.0,35.0,0,35.0
2009-12-03,35.0,35.0,35.0,35.0,0,35.0
2009-12-04,35.0,35.0,35.0,35.0,0,35.0
2009-12-07,33.25,32.20000076293945,32.25,32.5,17300,32.5
2009-12-08,32.5,32.5,32.5,32.5,0,32.5
2009-12-09,32.5,32.5,32.5,32.5,0,32.5
2009-12-10,33.04999923706055,33.0,33.0,33.0,18200,33.0
2009-12-11,33.0,33.0,33.0,33.0,0,33.0
2009-12-14,33.0,33.0,33.0,33.0,0,33.0
2009-12-15,32.0,32.0,32.0,32.0,400,32.0
2009-12-16,34.25,34.0,34.0,34.0,6300,34.0
2009-12-17,34.0,34.0,34.0,34.0,0,34.0
2009-12-18,36.5,36.25,36.5,36.25,100000,36.25
2009-12-21,36.25,36.25,36.25,36.25,0,36.25
2009-12-22,36.25,36.25,36.25,36.25,0,36.25
2009-12-23,36.25,36.25,36.25,36.25,0,36.25
2009-12-24,36.25,36.25,36.25,36.25,0,36.25
2009-12-28,36.25,36.25,36.25,36.25,0,36.25
